accno,L2FC,diet,GOID,TERM,psort_loc,ONTOLOGY,description
A0A2Y0FM34,Inf,lactation,GO:0004470,malic enzyme activity,Cytoplasmic,MF,Malate dehydrogenase OS=Escherichia coli OX=562 GN=maeA_1 PE=3 SV=1 UPId=UP000250883 PPId=UP000000625
A0A2Y0FM34,Inf,lactation,GO:0051287,"NAD binding",Cytoplasmic,MF,Malate dehydrogenase OS=Escherichia coli OX=562 GN=maeA_1 PE=3 SV=1 UPId=UP000250883 PPId=UP000000625
A0A369EJJ6,2.0615679564407614,lactation,GO:0006520,cellular amino acid metabolic process,Periplasmic,BP,L-asparaginase 2 (Fragment) OS=Escherichia coli OX=562 GN=ansB PE=4 SV=1 UPId=UP000252917 PPId=UP000000625
A0A376KJV0,Inf,lactation,GO:0003735,structural constituent of ribosome,Cytoplasmic,MF,30S ribosomal protein S12 OS=Escherichia coli OX=562 GN=rpsL_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376KJV0,Inf,lactation,GO:0005622,intracellular anatomical structure,Cytoplasmic,CC,30S ribosomal protein S12 OS=Escherichia coli OX=562 GN=rpsL_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376KJV0,Inf,lactation,GO:0005840,ribosome,Cytoplasmic,CC,30S ribosomal protein S12 OS=Escherichia coli OX=562 GN=rpsL_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376KJV0,Inf,lactation,GO:0006412,translation,Cytoplasmic,BP,30S ribosomal protein S12 OS=Escherichia coli OX=562 GN=rpsL_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376KL33,1.284165257717016,lactation,GO:0000166,nucleotide binding,Cytoplasmic,MF,Glycine tRNA synthetase OS=Escherichia coli OX=562 GN=glyQ_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376KL33,1.284165257717016,lactation,GO:0004820,glycine-tRNA ligase activity,Cytoplasmic,MF,Glycine tRNA synthetase OS=Escherichia coli OX=562 GN=glyQ_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376KL33,1.284165257717016,lactation,GO:0005524,ATP binding,Cytoplasmic,MF,Glycine tRNA synthetase OS=Escherichia coli OX=562 GN=glyQ_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376KL33,1.284165257717016,lactation,GO:0005737,cytoplasm,Cytoplasmic,CC,Glycine tRNA synthetase OS=Escherichia coli OX=562 GN=glyQ_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376KL33,1.284165257717016,lactation,GO:0006426,glycyl-tRNA aminoacylation,Cytoplasmic,BP,Glycine tRNA synthetase OS=Escherichia coli OX=562 GN=glyQ_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376LTU2,1.0846233443819377,lactation,GO:0003883,CTP synthase activity,Cytoplasmic,MF,CTP synthetase OS=Escherichia coli OX=562 GN=pyrG_2 PE=4 SV=1 UPId=UP000254538 PPId=UP000000625
A0A376LTU2,1.0846233443819377,lactation,GO:0006221,pyrimidine nucleotide biosynthetic process,Cytoplasmic,BP,CTP synthetase OS=Escherichia coli OX=562 GN=pyrG_2 PE=4 SV=1 UPId=UP000254538 PPId=UP000000625
A0A376LTU2,1.0846233443819377,lactation,GO:0006241,CTP biosynthetic process,Cytoplasmic,BP,CTP synthetase OS=Escherichia coli OX=562 GN=pyrG_2 PE=4 SV=1 UPId=UP000254538 PPId=UP000000625
A0A376MJ21,3.1717527695352525,lactation,GO:0008299,isoprenoid biosynthetic process,Cytoplasmic,BP,Octaprenyl-diphosphate synthase OS=Escherichia coli OX=562 GN=ispB_2 PE=4 SV=1 UPId=UP000254817 PPId=UP000000625
A0A377D2A9,3.8840874179061293,lactation,GO:0009295,nucleoid,Cytoplasmic,CC,Nucleoid-associated protein OS=Escherichia coli OX=562 GN=ndpA_1 PE=3 SV=1 UPId=UP000254174 PPId=UP000000625
A0A376SEY5,3.2275462975354308,lactation,GO:0008686,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",Cytoplasmic,MF,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli OX=562 GN=ribB_2 PE=4 SV=1 UPId=UP000254180 PPId=UP000000625"
A0A376SEY5,3.2275462975354308,lactation,GO:0009231,riboflavin biosynthetic process,Cytoplasmic,BP,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli OX=562 GN=ribB_2 PE=4 SV=1 UPId=UP000254180 PPId=UP000000625"
F3WHZ2,2.2348477454837212,lactation,GO:0006950,response to stress,Unknown,BP,Universal stress protein F OS=Shigella boydii 5216-82 OX=766141 GN=SB521682_1634 PE=4 SV=1 UPId=UP000004081 PPId=UP000000625
A0A377DRA2,Inf,lactation,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",Cytoplasmic,MF,Tartrate dehydrogenase/decarboxylase (D-malate dehydrogenase [decarboxylating]) OS=Escherichia coli OX=562 GN=dmlA_2 PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377DRA2,Inf,lactation,GO:0055114,NA,Cytoplasmic,NA,Tartrate dehydrogenase/decarboxylase (D-malate dehydrogenase [decarboxylating]) OS=Escherichia coli OX=562 GN=dmlA_2 PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377DRA2,Inf,lactation,GO:0000287,magnesium ion binding,Cytoplasmic,MF,Tartrate dehydrogenase/decarboxylase (D-malate dehydrogenase [decarboxylating]) OS=Escherichia coli OX=562 GN=dmlA_2 PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377DRA2,Inf,lactation,GO:0051287,"NAD binding",Cytoplasmic,MF,Tartrate dehydrogenase/decarboxylase (D-malate dehydrogenase [decarboxylating]) OS=Escherichia coli OX=562 GN=dmlA_2 PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377CDP4,Inf,lactation,GO:0003934,GTP cyclohydrolase I activity,Unknown,MF,GTP cyclohydrolase 1 OS=Escherichia coli OX=562 GN=folE_2 PE=3 SV=1 UPId=UP000254088 PPId=UP000000625
A0A377CDP4,Inf,lactation,GO:0005737,cytoplasm,Unknown,CC,GTP cyclohydrolase 1 OS=Escherichia coli OX=562 GN=folE_2 PE=3 SV=1 UPId=UP000254088 PPId=UP000000625
A0A377CDP4,Inf,lactation,GO:0046654,tetrahydrofolate biosynthetic process,Unknown,BP,GTP cyclohydrolase 1 OS=Escherichia coli OX=562 GN=folE_2 PE=3 SV=1 UPId=UP000254088 PPId=UP000000625
A0A377D9W8,1.5864434108480723,lactation,GO:0003735,structural constituent of ribosome,Cytoplasmic,MF,50S ribosomal protein L18 OS=Escherichia coli OX=562 GN=rplR PE=3 SV=1 UPId=UP000254052 PPId=UP000000625
A0A377D9W8,1.5864434108480723,lactation,GO:0005622,intracellular anatomical structure,Cytoplasmic,CC,50S ribosomal protein L18 OS=Escherichia coli OX=562 GN=rplR PE=3 SV=1 UPId=UP000254052 PPId=UP000000625
A0A377D9W8,1.5864434108480723,lactation,GO:0005840,ribosome,Cytoplasmic,CC,50S ribosomal protein L18 OS=Escherichia coli OX=562 GN=rplR PE=3 SV=1 UPId=UP000254052 PPId=UP000000625
A0A377D9W8,1.5864434108480723,lactation,GO:0006412,translation,Cytoplasmic,BP,50S ribosomal protein L18 OS=Escherichia coli OX=562 GN=rplR PE=3 SV=1 UPId=UP000254052 PPId=UP000000625
A0A377DNX7,3.4429168992065087,lactation,GO:0004601,peroxidase activity,Cytoplasmic,MF,Putative peroxidase OS=Escherichia coli OX=562 GN=yfeX PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377DNX7,3.4429168992065087,lactation,GO:0020037,heme binding,Cytoplasmic,MF,Putative peroxidase OS=Escherichia coli OX=562 GN=yfeX PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377DNX7,3.4429168992065087,lactation,GO:0055114,NA,Cytoplasmic,NA,Putative peroxidase OS=Escherichia coli OX=562 GN=yfeX PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377K9A2,1.945547306571024,lactation,GO:0004127,cytidylate kinase activity,Cytoplasmic,MF,Cytidylate kinase OS=Escherichia coli OX=562 GN=cmk_2 PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A377K9A2,1.945547306571024,lactation,GO:0005524,ATP binding,Cytoplasmic,MF,Cytidylate kinase OS=Escherichia coli OX=562 GN=cmk_2 PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A377K9A2,1.945547306571024,lactation,GO:0006139,nucleobase-containing compound metabolic process,Cytoplasmic,BP,Cytidylate kinase OS=Escherichia coli OX=562 GN=cmk_2 PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A3L0VZK2,3.110925885905916,lactation,GO:0003989,acetyl-CoA carboxylase activity,Cytoplasmic,MF,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli OX=562 GN=accD PE=3 SV=1 UPId=UP000272300 PPId=UP000000625
A0A3L0VZK2,3.110925885905916,lactation,GO:0006633,fatty acid biosynthetic process,Cytoplasmic,BP,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli OX=562 GN=accD PE=3 SV=1 UPId=UP000272300 PPId=UP000000625
A0A3L0VZK2,3.110925885905916,lactation,GO:0009317,acetyl-CoA carboxylase complex,Cytoplasmic,CC,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli OX=562 GN=accD PE=3 SV=1 UPId=UP000272300 PPId=UP000000625
A0A3P6KEZ3,1.5617860251166575,lactation,GO:0016209,antioxidant activity,Cytoplasmic,MF,Alkyl hydroperoxide reductase subunit C OS=Shigella dysenteriae OX=622 GN=ahpC_1 PE=4 SV=1 UPId=UP000274225 PPId=UP000000625
A0A3P6KEZ3,1.5617860251166575,lactation,GO:0016491,oxidoreductase activity,Cytoplasmic,MF,Alkyl hydroperoxide reductase subunit C OS=Shigella dysenteriae OX=622 GN=ahpC_1 PE=4 SV=1 UPId=UP000274225 PPId=UP000000625
A0A3P6KEZ3,1.5617860251166575,lactation,GO:0055114,NA,Cytoplasmic,NA,Alkyl hydroperoxide reductase subunit C OS=Shigella dysenteriae OX=622 GN=ahpC_1 PE=4 SV=1 UPId=UP000274225 PPId=UP000000625
A0A3S4KP05,1.4988396606424494,lactation,GO:0000166,nucleotide binding,Cytoplasmic,MF,Transcription termination/antitermination factor NusA OS=Escherichia coli OX=562 GN=nusA_1 PE=4 SV=1 UPId=UP000271797 PPId=UP000000625
A0A3S4KP05,1.4988396606424494,lactation,GO:0003723,RNA binding,Cytoplasmic,MF,Transcription termination/antitermination factor NusA OS=Escherichia coli OX=562 GN=nusA_1 PE=4 SV=1 UPId=UP000271797 PPId=UP000000625
F3WDX7,1.8607162254188632,lactation,GO:0003735,structural constituent of ribosome,Cytoplasmic,MF,30S ribosomal protein S2 OS=Shigella boydii 5216-82 OX=766141 GN=rpsB PE=3 SV=1 UPId=UP000004081 PPId=UP000000625
F3WDX7,1.8607162254188632,lactation,GO:0005840,ribosome,Cytoplasmic,CC,30S ribosomal protein S2 OS=Shigella boydii 5216-82 OX=766141 GN=rpsB PE=3 SV=1 UPId=UP000004081 PPId=UP000000625
F3WDX7,1.8607162254188632,lactation,GO:0006412,translation,Cytoplasmic,BP,30S ribosomal protein S2 OS=Shigella boydii 5216-82 OX=766141 GN=rpsB PE=3 SV=1 UPId=UP000004081 PPId=UP000000625
F3WDX7,1.8607162254188632,lactation,GO:0005622,intracellular anatomical structure,Cytoplasmic,CC,30S ribosomal protein S2 OS=Shigella boydii 5216-82 OX=766141 GN=rpsB PE=3 SV=1 UPId=UP000004081 PPId=UP000000625
F3WDX7,1.8607162254188632,lactation,GO:0015935,small ribosomal subunit,Cytoplasmic,CC,30S ribosomal protein S2 OS=Shigella boydii 5216-82 OX=766141 GN=rpsB PE=3 SV=1 UPId=UP000004081 PPId=UP000000625
AAG54483.1,2.0015428641592785,lactation,GO:0016740,transferase activity,Cytoplasmic,MF,UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis [Escherichia coli O157:H7 str. EDL933]
AAG54483.1,2.0015428641592785,lactation,GO:0008610,lipid biosynthetic process,Cytoplasmic,BP,UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis [Escherichia coli O157:H7 str. EDL933]
AAG54483.1,2.0015428641592785,lactation,GO:0008780,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity,Cytoplasmic,MF,UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis [Escherichia coli O157:H7 str. EDL933]
AAG54487.1,3.2252961681156527,lactation,GO:0003989,acetyl-CoA carboxylase activity,Cytoplasmic,MF,"acetylCoA carboxylase, carboxytransferase component, alpha subunit [Escherichia coli O157:H7 str. EDL933]"
AAG54487.1,3.2252961681156527,lactation,GO:0006633,fatty acid biosynthetic process,Cytoplasmic,BP,"acetylCoA carboxylase, carboxytransferase component, alpha subunit [Escherichia coli O157:H7 str. EDL933]"
AAG54487.1,3.2252961681156527,lactation,GO:0009317,acetyl-CoA carboxylase complex,Cytoplasmic,CC,"acetylCoA carboxylase, carboxytransferase component, alpha subunit [Escherichia coli O157:H7 str. EDL933]"
AAG54487.1,3.2252961681156527,lactation,GO:0016874,ligase activity,Cytoplasmic,MF,"acetylCoA carboxylase, carboxytransferase component, alpha subunit [Escherichia coli O157:H7 str. EDL933]"
AAG54674.1,1.9199915761936288,lactation,GO:0008270,zinc ion binding,Cytoplasmic,MF,putative oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG54674.1,1.9199915761936288,lactation,GO:0016491,oxidoreductase activity,Cytoplasmic,MF,putative oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG54674.1,1.9199915761936288,lactation,GO:0055114,NA,Cytoplasmic,NA,putative oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG54976.1,1.1908731100854164,lactation,GO:0000166,nucleotide binding,Cytoplasmic,MF,leucine tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
AAG54976.1,1.1908731100854164,lactation,GO:0004812,aminoacyl-tRNA ligase activity,Cytoplasmic,MF,leucine tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
AAG54976.1,1.1908731100854164,lactation,GO:0005524,ATP binding,Cytoplasmic,MF,leucine tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
AAG54976.1,1.1908731100854164,lactation,GO:0006418,tRNA aminoacylation for protein translation,Cytoplasmic,BP,leucine tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
AAG54976.1,1.1908731100854164,lactation,GO:0002161,aminoacyl-tRNA editing activity,Cytoplasmic,MF,leucine tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
AAG54976.1,1.1908731100854164,lactation,GO:0004823,leucine-tRNA ligase activity,Cytoplasmic,MF,leucine tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
AAG54976.1,1.1908731100854164,lactation,GO:0006429,leucyl-tRNA aminoacylation,Cytoplasmic,BP,leucine tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
AAG54993.1,1.8188143113323387,lactation,GO:0005524,ATP binding,Cytoplasmic,MF,putative ATP-binding protein in pho regulon [Escherichia coli O157:H7 str. EDL933]
D8EFV8,3.703639533828925,lactation,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",Cytoplasmic,MF,N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli MS 119-7 OX=679206 GN=nagA PE=4 SV=1 UPId=UP000005983 PPId=UP000000625
D8EFV8,3.703639533828925,lactation,GO:0016787,hydrolase activity,Cytoplasmic,MF,N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli MS 119-7 OX=679206 GN=nagA PE=4 SV=1 UPId=UP000005983 PPId=UP000000625
D8EFV8,3.703639533828925,lactation,GO:0006044,N-acetylglucosamine metabolic process,Cytoplasmic,BP,N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli MS 119-7 OX=679206 GN=nagA PE=4 SV=1 UPId=UP000005983 PPId=UP000000625
D8EFV8,3.703639533828925,lactation,GO:0008448,N-acetylglucosamine-6-phosphate deacetylase activity,Cytoplasmic,MF,N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli MS 119-7 OX=679206 GN=nagA PE=4 SV=1 UPId=UP000005983 PPId=UP000000625
P0A8L1,1.0122969041224983,lactation,GO:0000166,nucleotide binding,Cytoplasmic,MF,Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
P0A8L1,1.0122969041224983,lactation,GO:0004828,serine-tRNA ligase activity,Cytoplasmic,MF,Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
P0A8L1,1.0122969041224983,lactation,GO:0005524,ATP binding,Cytoplasmic,MF,Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
P0A8L1,1.0122969041224983,lactation,GO:0005737,cytoplasm,Cytoplasmic,CC,Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
P0A8L1,1.0122969041224983,lactation,GO:0006434,seryl-tRNA aminoacylation,Cytoplasmic,BP,Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
P0A8L1,1.0122969041224983,lactation,GO:0004812,aminoacyl-tRNA ligase activity,Cytoplasmic,MF,Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
P0A8L1,1.0122969041224983,lactation,GO:0006418,tRNA aminoacylation for protein translation,Cytoplasmic,BP,Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
AAG55414.1,2.085342824791924,lactation,GO:0006810,transport,OuterMembrane,BP,outer membrane protein 1a (Ia;b;F) [Escherichia coli O157:H7 str. EDL933]
AAG55414.1,2.085342824791924,lactation,GO:0015288,porin activity,OuterMembrane,MF,outer membrane protein 1a (Ia;b;F) [Escherichia coli O157:H7 str. EDL933]
AAG55414.1,2.085342824791924,lactation,GO:0016020,membrane,OuterMembrane,CC,outer membrane protein 1a (Ia;b;F) [Escherichia coli O157:H7 str. EDL933]
AAG55838.1,1.113601679384192,lactation,GO:0008152,metabolic process,Cytoplasmic,BP,malonyl-CoA-[acyl-carrier-protein] transacylase [Escherichia coli O157:H7 str. EDL933]
AAG55838.1,1.113601679384192,lactation,GO:0004314,[acyl-carrier-protein] S-malonyltransferase activity,Cytoplasmic,MF,malonyl-CoA-[acyl-carrier-protein] transacylase [Escherichia coli O157:H7 str. EDL933]
AAG55838.1,1.113601679384192,lactation,GO:0003824,catalytic activity,Cytoplasmic,MF,malonyl-CoA-[acyl-carrier-protein] transacylase [Escherichia coli O157:H7 str. EDL933]
AAG55841.1,1.6365525592933632,lactation,GO:0003824,catalytic activity,Cytoplasmic,MF,3-oxoacyl-[acyl-carrier-protein] synthase II [Escherichia coli O157:H7 str. EDL933]
AAG55841.1,1.6365525592933632,lactation,GO:0008152,metabolic process,Cytoplasmic,BP,3-oxoacyl-[acyl-carrier-protein] synthase II [Escherichia coli O157:H7 str. EDL933]
AAG55841.1,1.6365525592933632,lactation,GO:0006633,fatty acid biosynthetic process,Cytoplasmic,BP,3-oxoacyl-[acyl-carrier-protein] synthase II [Escherichia coli O157:H7 str. EDL933]
AAG55841.1,1.6365525592933632,lactation,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",Cytoplasmic,MF,3-oxoacyl-[acyl-carrier-protein] synthase II [Escherichia coli O157:H7 str. EDL933]
AAG55847.1,1.5306086158729146,lactation,GO:0005355,glucose transmembrane transporter activity,CytoplasmicMembrane,MF,"PTS system, glucose-specific IIBC component [Escherichia coli O157:H7 str. EDL933]"
AAG55847.1,1.5306086158729146,lactation,GO:0015758,NA,CytoplasmicMembrane,NA,"PTS system, glucose-specific IIBC component [Escherichia coli O157:H7 str. EDL933]"
AAG55847.1,1.5306086158729146,lactation,GO:0016021,integral component of membrane,CytoplasmicMembrane,CC,"PTS system, glucose-specific IIBC component [Escherichia coli O157:H7 str. EDL933]"
AAG55847.1,1.5306086158729146,lactation,GO:0008982,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,CytoplasmicMembrane,MF,"PTS system, glucose-specific IIBC component [Escherichia coli O157:H7 str. EDL933]"
AAG55847.1,1.5306086158729146,lactation,GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,CytoplasmicMembrane,BP,"PTS system, glucose-specific IIBC component [Escherichia coli O157:H7 str. EDL933]"
AAG55847.1,1.5306086158729146,lactation,GO:0016020,membrane,CytoplasmicMembrane,CC,"PTS system, glucose-specific IIBC component [Escherichia coli O157:H7 str. EDL933]"
AAG56020.1,1.2127708823332242,lactation,GO:0004175,endopeptidase activity,OuterMembrane,MF,"outer membrane protein 3b (a), protease VII [Escherichia coli O157:H7 str. EDL933]"
AAG56020.1,1.2127708823332242,lactation,GO:0006508,proteolysis,OuterMembrane,BP,"outer membrane protein 3b (a), protease VII [Escherichia coli O157:H7 str. EDL933]"
AAG56020.1,1.2127708823332242,lactation,GO:0009279,cell outer membrane,OuterMembrane,CC,"outer membrane protein 3b (a), protease VII [Escherichia coli O157:H7 str. EDL933]"
AAG56020.1,1.2127708823332242,lactation,GO:0004190,aspartic-type endopeptidase activity,OuterMembrane,MF,"outer membrane protein 3b (a), protease VII [Escherichia coli O157:H7 str. EDL933]"
AAG56065.1,1.309074584962782,lactation,GO:0009116,nucleoside metabolic process,Cytoplasmic,BP,phosphoribosylpyrophosphate synthetase [Escherichia coli O157:H7 str. EDL933]
AAG56065.1,1.309074584962782,lactation,GO:0000287,magnesium ion binding,Cytoplasmic,MF,phosphoribosylpyrophosphate synthetase [Escherichia coli O157:H7 str. EDL933]
AAG56065.1,1.309074584962782,lactation,GO:0004749,ribose phosphate diphosphokinase activity,Cytoplasmic,MF,phosphoribosylpyrophosphate synthetase [Escherichia coli O157:H7 str. EDL933]
AAG56065.1,1.309074584962782,lactation,GO:0009156,ribonucleoside monophosphate biosynthetic process,Cytoplasmic,BP,phosphoribosylpyrophosphate synthetase [Escherichia coli O157:H7 str. EDL933]
AAG56065.1,1.309074584962782,lactation,GO:0044249,cellular biosynthetic process,Cytoplasmic,BP,phosphoribosylpyrophosphate synthetase [Escherichia coli O157:H7 str. EDL933]
AAG56065.1,1.309074584962782,lactation,GO:0009165,nucleotide biosynthetic process,Cytoplasmic,BP,phosphoribosylpyrophosphate synthetase [Escherichia coli O157:H7 str. EDL933]
