accno,Protein names,Gene names,iBAQ 1,iBAQ 2,rel_iBAQ1,rel_iBAQ2,L2FC,psort_loc,description
A0A376LTU2,CTP synthase,pyrG,3703200,7624900,0.009726681717246256,0.004586279773859172,1.0846233443819377,Cytoplasmic,CTP synthetase OS=Escherichia coli OX=562 GN=pyrG_2 PE=4 SV=1 UPId=UP000254538 PPId=UP000000625
A0A376MJ21,Octaprenyl-diphosphate synthase,Q609_ECAC02252G0001;ispB,5198900,2519300,0.013655229417744533,0.001515326710420256,3.1717527695352525,Cytoplasmic,Octaprenyl-diphosphate synthase OS=Escherichia coli OX=562 GN=ispB_2 PE=4 SV=1 UPId=UP000254817 PPId=UP000000625
A0A377D2A9,Nucleoid-associated protein YejK,yejK,14917000,4411800,0.03918041455394319,0.0026536412420244057,3.8840874179061293,Cytoplasmic,Nucleoid-associated protein OS=Escherichia coli OX=562 GN=ndpA_1 PE=3 SV=1 UPId=UP000254174 PPId=UP000000625
A0A377E6Z1,Uncharacterized protein YbeL,EC970246_0596;ybeL,23170000,41541000,0.060857424764688854,0.024986379898212938,1.2842913916648382,Unknown,Putative alpha helical protein OS=Escherichia coli OX=562 GN=ybeL_2 PE=4 SV=1 UPId=UP000254088 PPId=UP000000625
S0WDS5,Regulator of ribonuclease activity B,rraB,76033000,44407000,0.19970533349734945,0.02671024222189986,2.9024078988858677,Cytoplasmic,Regulator of ribonuclease activity B OS=Escherichia sp. KTE31 OX=1169349 GN=rraB PE=3 SV=1 UPId=UP000014175 PPId=UP000000625
A0A376SEY5,"3,4-dihydroxy-2-butanone 4-phosphate synthase",ribB;EC236275_0016,10086000,4702100,0.026491497029635377,0.0028282529770440545,3.2275462975354308,Cytoplasmic,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli OX=562 GN=ribB_2 PE=4 SV=1 UPId=UP000254180 PPId=UP000000625"
A0A376TIF8,NA,NA,3036400,0,0.00797529065841611,0,Inf,Cytoplasmic,Succinyl-CoA synthetase beta chain with ATP-grasp domain OS=Escherichia coli OX=562 GN=sucC_1 PE=4 SV=1 UPId=UP000254405 PPId=UP000000625
AAG55382.1,Anaerobic dimethyl sulfoxide reductase chain B,dmsB,4656800,6662000,0.012231370550030343,0.004007107746127792,1.6099528621738142,Unknown,anaerobic dimethyl sulfoxide reductase subunit B [Escherichia coli O157:H7 str. EDL933]
A0A376Y1E3,NA,NA,3378400,0,0.008873574614804697,0,Inf,Cytoplasmic,Translation elongation factor G OS=Escherichia coli OX=562 GN=fusA1_2 PE=4 SV=1 UPId=UP000254785 PPId=UP000000625
A0A376ZLL7,Uncharacterized protein YggL,yggL,30973000,29991000,0.081352482401239,0.0180392027040106,2.1730507933492254,Unknown,Protein OS=Escherichia coli OX=562 GN=yggL PE=4 SV=1 UPId=UP000254052 PPId=UP000000625
F3WHZ2,Universal stress protein F,uspF,109950000,102000000,0.2887904122951031,0.061351694702046655,2.2348477454837212,Unknown,Universal stress protein F OS=Shigella boydii 5216-82 OX=766141 GN=SB521682_1634 PE=4 SV=1 UPId=UP000004081 PPId=UP000000625
A0A377DRA2,D-malate dehydrogenase [decarboxylating],dmlA,3546000,0,0.009313786284660624,0,Inf,Cytoplasmic,Tartrate dehydrogenase/decarboxylase (D-malate dehydrogenase [decarboxylating]) OS=Escherichia coli OX=562 GN=dmlA_2 PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377CDP4,NA,NA,8929500,0,0.023453878913952918,0,Inf,Unknown,GTP cyclohydrolase 1 OS=Escherichia coli OX=562 GN=folE_2 PE=3 SV=1 UPId=UP000254088 PPId=UP000000625
A0A377D9W8,50S ribosomal protein L18,rplR,175270000,254860000,0.46035739484277144,0.15329502854670204,1.5864434108480723,Cytoplasmic,50S ribosomal protein L18 OS=Escherichia coli OX=562 GN=rplR PE=3 SV=1 UPId=UP000254052 PPId=UP000000625
A0A377DNX7,Probable deferrochelatase/peroxidase YfeX,yfeX,6153900,2471100,0.016163595436315008,0.0014863350272375242,3.4429168992065087,Cytoplasmic,Putative peroxidase OS=Escherichia coli OX=562 GN=yfeX PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377K9A2,Cytidylate kinase,cmk,5773200,6545000,0.015163663558545606,0.0039367337433813265,1.945547306571024,Cytoplasmic,Cytidylate kinase OS=Escherichia coli OX=562 GN=cmk_2 PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A3L0VZK2,NA,NA,2632500,1330600,0.0069144225590437374,8.003388722602282e-4,3.110925885905916,Cytoplasmic,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli OX=562 GN=accD PE=3 SV=1 UPId=UP000272300 PPId=UP000000625
A0A3P6KEZ3,NA,NA,60188000,89028000,0.15808747007928756,0.053549202705233424,1.5617860251166575,Cytoplasmic,Alkyl hydroperoxide reductase subunit C OS=Shigella dysenteriae OX=622 GN=ahpC_1 PE=4 SV=1 UPId=UP000274225 PPId=UP000000625
A0A3S4KP05,NA,NA,3151900,4870100,0.008278658485792956,0.002929302827141543,1.4988396606424494,Cytoplasmic,Transcription termination/antitermination factor NusA OS=Escherichia coli OX=562 GN=nusA_1 PE=4 SV=1 UPId=UP000271797 PPId=UP000000625
A0A3S4P5V8,NA,NA,5286000,0,0.013884002904883267,0,Inf,Cytoplasmic,Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase OS=Escherichia coli OX=562 GN=aceF_3 PE=4 SV=1 UPId=UP000277930 PPId=UP000000625
AAG54467.1,UPF0325 protein YaeH,yaeH;Q609_ECAC02397G0002,9508400,6630700,0.024974395236623544,0.003988281196675106,2.6466107063942204,Cytoplasmic,putative structural protein [Escherichia coli O157:H7 str. EDL933]
F3WDX7,30S ribosomal protein S2,rpsB,156810000,188540000,0.41187107368799564,0.11340439724631249,1.8607162254188632,Cytoplasmic,30S ribosomal protein S2 OS=Shigella boydii 5216-82 OX=766141 GN=rpsB PE=3 SV=1 UPId=UP000004081 PPId=UP000000625
AAG54483.1,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,lpxA,18116000,19756000,0.04758278407583527,0.011882981181702291,2.0015428641592785,Cytoplasmic,UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis [Escherichia coli O157:H7 str. EDL933]
AAG54487.1,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,7642500,3568500,0.020073494551753758,0.002146407083767191,3.2252961681156527,Cytoplasmic,"acetylCoA carboxylase, carboxytransferase component, alpha subunit [Escherichia coli O157:H7 str. EDL933]"
AAG54674.1,Aldehyde reductase YahK,yahK,2805500,3237400,0.007368817659790011,0.0019472546708667238,1.9199915761936288,Cytoplasmic,putative oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG54803.1,Uncharacterized lipoprotein YbaY,ybaY,58066000,88984000,0.15251390705163673,0.053522737268303124,1.5107169959759101,Periplasmic,glycoprotein/polysaccharide metabolism [Escherichia coli O157:H7 str. EDL933]
AAG54820.1,Nucleoid-associated protein YbaB,ybaB,12617000,9407600,0.03313932361916613,0.005658551010578177,2.550039583683251,Unknown,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG54976.1,Leucine--tRNA ligase,leuS,5594900,10702000,0.014695347683036585,0.006437116046091208,1.1908731100854164,Cytoplasmic,leucine tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
AAG54993.1,PhoH-like protein,ybeZ,3218100,3983300,0.008452536842263495,0.002395903975555514,1.8188143113323387,Cytoplasmic,putative ATP-binding protein in pho regulon [Escherichia coli O157:H7 str. EDL933]
D8EFV8,N-acetylglucosamine-6-phosphate deacetylase,nagA,6581000,2205700,0.017285399757290345,0.0013267003235716106,3.703639533828925,Cytoplasmic,N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli MS 119-7 OX=679206 GN=nagA PE=4 SV=1 UPId=UP000005983 PPId=UP000000625
P0A8L1,Serine--tRNA ligase,serS,38518000,83386000,0.10116988722858375,0.050155611906126094,1.0122969041224983,Cytoplasmic,Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
AAG55414.1,Outer membrane protein F,ompF,90761000,93392000,0.23838932797013052,0.05617409285895628,2.085342824791924,OuterMembrane,outer membrane protein 1a (Ia;b;F) [Escherichia coli O157:H7 str. EDL933]
AAG55532.1,Uncharacterized lipoprotein GfcD,gfcD,5821000,684760,0.015289213187537929,4.1187437709973984e-4,5.2141659762531285,OuterMembrane,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG55838.1,Malonyl CoA-acyl carrier protein transacylase,fabD,4668300,9420900,0.012261576004704228,0.005666550790377561,1.113601679384192,Cytoplasmic,malonyl-CoA-[acyl-carrier-protein] transacylase [Escherichia coli O157:H7 str. EDL933]
AAG55841.1,3-oxoacyl-[acyl-carrier-protein] synthase 2,fabF,7069900,9929400,0.01856952556512187,0.005972407033083353,1.6365525592933632,Cytoplasmic,3-oxoacyl-[acyl-carrier-protein] synthase II [Escherichia coli O157:H7 str. EDL933]
AAG55847.1,PTS system glucose-specific EIICB component;Glucose permease IIC component;Glucose-specific phosphotransferase enzyme IIB component,ptsG,1481000,2238500,0.003889937249741225,0.0013464291038287396,1.5306086158729146,CytoplasmicMembrane,"PTS system, glucose-specific IIBC component [Escherichia coli O157:H7 str. EDL933]"
AAG56020.1,Protease 7,ompT,27655000,52102000,0.07263755208750411,0.03133868624868661,1.2127708823332242,OuterMembrane,"outer membrane protein 3b (a), protease VII [Escherichia coli O157:H7 str. EDL933]"
AAG56065.1,Ribose-phosphate pyrophosphokinase,prs,62485000,110120000,0.16412068133023663,0.06623577079009194,1.309074584962782,Cytoplasmic,phosphoribosylpyrophosphate synthetase [Escherichia coli O157:H7 str. EDL933]
AAG56073.1,2-dehydro-3-deoxyphosphooctonate aldolase,kdsA,2697000,0,0.007083835761345094,0,Inf,Cytoplasmic,2-dehydro-3-deoxyphosphooctulonate aldolase [Escherichia coli O157:H7 str. EDL933]
AYV41241.1,Peroxiredoxin OsmC,osmC,25867000,0,0.06794126052603394,0,Inf,Cytoplasmic,OsmC family peroxiredoxin [Escherichia coli O157:H7]
AAG56359.1,NA,NA,3017400,4041400,0.007925385994172298,0.002430850382047562,1.7050201025389053,Cytoplasmic,glyceraldehyde-3-phosphate dehydrogenase [Escherichia coli O157:H7 str. EDL933]
AAG56537.1,Aconitate hydratase A,acnA,5869700,12343000,0.015417126721678642,0.007424156546150605,1.05423487967272,Cytoplasmic,aconitate hydrase 1 [Escherichia coli O157:H7 str. EDL933]
AAG56608.1,7-alpha-hydroxysteroid dehydrogenase,hdhA,6674200,8522100,0.017530195268212617,0.005125934092355997,1.7739552321714385,Cytoplasmic,"NAD-dependent 7alpha-hydroxysteroid dehydrogenase, dehydroxylation of bile acids [Escherichia coli O157:H7 str. EDL933]"
P69776,Major outer membrane lipoprotein Lpp,lpp,5693900000,11943000000,14.955377249359596,7.18356166496611,1.057893077084923,OuterMembrane,Major outer membrane prolipoprotein Lpp OS=Escherichia coli (strain K12) OX=83333 GN=lpp PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
P0A8M3,Threonine--tRNA ligase,thrS,12545000,17409000,0.03295021120729485,0.010471290716352256,1.6538484295096356,Cytoplasmic,Threonine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=thrS PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
AAG56771.1,MltA-interacting protein,mipA;EC12741_2063,125210000,264600000,0.3288717373667109,0.15915351390354454,1.0471060207732095,OuterMembrane,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG56856.1,Aspartate--tRNA ligase,aspS,28221000,37177000,0.07412418576971447,0.02236148974449008,1.7289280470571005,Cytoplasmic,aspartate tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
AAG56894.1,Bacterial non-heme ferritin,ftnA,86996000,143360000,0.2285003247660281,0.08622920541652361,1.4059477247220895,Cytoplasmic,cytoplasmic ferritin (an iron storage protein) [Escherichia coli O157:H7 str. EDL933]
AAG56938.1,NA,fliC,657850000,1221900000,1.7278833354100371,0.7349572132983412,1.2332736430451865,Extracellular,"flagellar biosynthesis; flagellin, filament structural protein [Escherichia coli O157:H7 str. EDL933]"
AAG57344.1,Ecotin,eco,41776000,49941000,0.10972722386575924,0.030038872403087367,1.8690189467070095,Periplasmic,"ecotin, a serine protease inhibitor [Escherichia coli O157:H7 str. EDL933]"
P0A9M8,Phosphate acetyltransferase,pta,23668000,50397000,0.062165452280131886,0.030313150567637698,1.036169237223695,Cytoplasmic,Phosphate acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=pta PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
AAG57472.1,Long-chain fatty acid transport protein,fadL,62646000,110620000,0.16454355769567103,0.06653651439157254,1.3062513466250556,OuterMembrane,transport of long-chain fatty acids; sensitivity to phage T2 [Escherichia coli O157:H7 str. EDL933]
P76558,"NADP-dependent malic enzyme",maeB;ECNG_00478,22578000,43777000,0.05930250048930276,0.026331305284034278,1.171313897465975,Cytoplasmic,"NADP-dependent malic enzyme OS=Escherichia coli (strain K12) OX=83333 GN=maeB PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"
AAG57909.1,LOG family protein YgdH,ygdH;HMPREF9346_00383,2543600,4336400,0.006680921261608224,0.002608289106921128,1.3569432669301127,Cytoplasmic,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG58028.1,UPF0267 protein YqfB,yqfB,12397000,9967900,0.032561480138448326,0.005995564290397361,2.4411988326105836,Cytoplasmic,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG58067.1,Agmatinase,speB,10430000,20850000,0.02739503410857595,0.01254100818174189,1.127261067675351,Cytoplasmic,agmatinase [Escherichia coli O157:H7 str. EDL933]
AAG58301.1,30S ribosomal protein S15,rpsO,194470000,386330000,0.51078737134178,0.23237255112001648,1.1362831951795636,Cytoplasmic,30S ribosomal subunit protein S15 [Escherichia coli O157:H7 str. EDL933]
AAG58310.1,Phosphoglucosamine mutase,glmM;Q609_ECAC01371G0001,12426000,17578000,0.03263765041545203,0.010572942053652706,1.6261603208640052,Cytoplasmic,similar to phosphoglucomutases and phosphomannomutases [Escherichia coli O157:H7 str. EDL933]
AYV43330.1,Enhancing lycopene biosynthesis protein 2,elbB,10171000,3039400,0.026714754738094534,0.0018281602046803977,3.8691723653926706,Cytoplasmic,isoprenoid biosynthesis protein ElbB [Escherichia coli O157:H7]
AAG58353.1,N-acetylneuraminate lyase,nanA;Q609_ECAC02454G0002,24448000,40911000,0.0642141700754041,0.024607442960347354,1.3837969400838444,Cytoplasmic,N-acetylneuraminate lyase (aldolase); catabolism of sialic acid; not K-12 [Escherichia coli O157:H7 str. EDL933]
AAG58361.1,Inner membrane protein YhcB,yhcB,15315000,25574000,0.04022578594178722,0.015382433728530794,1.386836831920029,CytoplasmicMembrane,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG58418.1,30S ribosomal protein S11,rpsK,31830000,51307000,0.08360344541476246,0.030860503922332423,1.4378007790863776,Cytoplasmic,30S ribosomal subunit protein S11 [Escherichia coli O157:H7 str. EDL933]
AAG58419.1,30S ribosomal protein S13;30S ribosomal protein,rpsM;ECCG_03705,418190000,747120000,1.098401660006268,0.4493831190764029,1.289387874632418,Cytoplasmic,30S ribosomal subunit protein S13 [Escherichia coli O157:H7 str. EDL933]
AAG58422.1,50S ribosomal protein L15,rplO,206340000,427910000,0.5419646536877815,0.2573823890191449,1.0742854209131083,Cytoplasmic,50S ribosomal subunit protein L15 [Escherichia coli O157:H7 str. EDL933]
AAG58442.1,30S ribosomal protein S10,rpsJ,191640000,386670000,0.5033542029307282,0.2325770567690233,1.1138651755788904,Cytoplasmic,30S ribosomal subunit protein S10 [Escherichia coli O157:H7 str. EDL933]
AAG58484.1,Tryptophan--tRNA ligase,trpS,9470000,11300000,0.024873535283625525,0.006796805393462031,1.8716828516534463,Cytoplasmic,tryptophan tRNA synthetase [Escherichia coli O157:H7 str. EDL933]
PXF67574.1,Uncharacterized oxidoreductase YhhX,yhhX,10421000,4509700,0.02737139505709204,0.0027125268391943115,3.3349596498886203,Cytoplasmic,oxidoreductase [Escherichia coli O157]
AAG58707.1,Glycine--tRNA ligase beta subunit,glyS,2286800,4423800,0.0060064203259339866,0.002660859088459941,1.1746133260683969,Cytoplasmic,"glycine tRNA synthetase, beta subunit [Escherichia coli O157:H7 str. EDL933]"
Q83PQ0,Mannitol-1-phosphate 5-dehydrogenase,mtlD,4802400,803200,0.01261379787181449,4.831145214184693e-4,4.706493692163737,Cytoplasmic,Mannitol-1-phosphate 5-dehydrogenase OS=Shigella flexneri OX=623 GN=mtlD PE=1 SV=2 UPId=UP000001006 PPId=UP000000625
AAG59109.1,ATP-dependent 6-phosphofructokinase isozyme 1,pfkA,9215900,18513000,0.02420612606339646,0.011135332588421466,1.120227560634682,Cytoplasmic,6-phosphofructokinase I [Escherichia coli O157:H7 str. EDL933]
AAG59170.1,Vitamin B12 transporter BtuB,btuB,11641000,22595000,0.030575799813799865,0.013590603350909256,1.1697807322741185,OuterMembrane,"outer membrane receptor for transport of vitamin B12, E colicins, and bacteriophage BF23 [Escherichia coli O157:H7 str. EDL933]"
AAG59321.1,NA,NA,643060,1042400,0.0016890364941381448,6.269902603667983e-4,1.4296855624754645,Cytoplasmic,fumarase B= fumarate hydratase Class I; anaerobic isozyme [Escherichia coli O157:H7 str. EDL933]
P0AC38,Aspartate ammonia-lyase,aspA,152270000,209500000,0.39994648549500095,0.12601156902038013,1.6662507818378949,Cytoplasmic,Aspartate ammonia-lyase OS=Escherichia coli (strain K12) OX=83333 GN=aspA PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
I6CRB9,Inner membrane protein YjiY,yjiY,2843500,5258300,0.007468626988277632,0.003162800159331097,1.2396406438846361,CytoplasmicMembrane,Inner membrane protein YjiY OS=Shigella boydii 965-58 OX=766138 GN=yjiY PE=4 SV=1 UPId=UP000004209 PPId=UP000000625
EEC30518.1,NA,wrbA,52300000,47390000,0.13736915473427824,0.028504478548333243,2.268797578989314,Unknown,"NAD(P)H:quinone oxidoreductase, type IV [Escherichia coli O157:H7 str. TW14588]"
P08506,D-alanyl-D-alanine carboxypeptidase DacC,dacC,1631200,1828900,0.004284446753394927,0.001100059945495815,1.9615267799223541,CytoplasmicMembrane,D-alanyl-D-alanine carboxypeptidase DacC OS=Escherichia coli (strain K12) OX=83333 GN=dacC PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P18775,Dimethyl sulfoxide reductase DmsA,dmsA,3898400,8242200,0.010239386478319509,0.004957577824247147,1.0464219495640674,Cytoplasmic,Dimethyl sulfoxide reductase DmsA OS=Escherichia coli (strain K12) OX=83333 GN=dmsA PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
BAB35848.1,"Translation initiation factor IF-3;Translation initiation factor IF-3, N-terminally processed;Translation initiation factor IF-3S",infC,67186000,58569000,0.17646814588866575,0.03522850399023696,2.324592671454337,Cytoplasmic,translation initiation factor IF-3 [Escherichia coli O157:H7 str. Sakai]
BAB37938.2,Deoxyuridine 5-triphosphate nucleotidohydrolase,dut,43665000,80410000,0.1146887981161044,0.04836558599011344,1.245671703741799,Unknown,deoxyuridinetriphosphatase [Escherichia coli O157:H7 str. Sakai]
EZD01638.1,Probable GTP-binding protein EngB,engB,1782200,0,0.00468105750606942,0,Inf,Unknown,GTP-binding protein [Escherichia coli O157:H7 str. K6590]
EDU76780.1,Putative polysaccharide export protein GfcE,gfcE,24223000,41094000,0.06362319378830635,0.024717515118489266,1.3640190801436833,OuterMembrane,"outer membrane lipoprotein, group 4 capsule (G4C) polysaccharide [Escherichia coli O157:H7 str. EC4401]"
EZA68718.1,"Fumarate hydratase class I, anaerobic",fumB,5964300,3329500,0.0156655994183873,0.002002651642259454,2.967616579301835,Cytoplasmic,fumarate hydratase [Escherichia coli O157:H16 str. 98-3133]
P04079,GMP synthase [glutamine-hydrolyzing],guaA,4646300,5292800,0.012203791656632448,0.0031835514678332597,1.9386204622396448,Cytoplasmic,GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) OX=83333 GN=guaA PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
P0AG30,Transcription termination factor Rho,rho,9694500,13918000,0.025463198290085285,0.008371498890814563,1.6048557784133604,Cytoplasmic,Transcription termination factor Rho OS=Escherichia coli (strain K12) OX=83333 GN=rho PE=1 SV=1 UPId=UP000000625 PPId=UP000000625
P25738,Acidic protein MsyB,msyB,26738000,35286000,0.07022899539742126,0.021224077443690374,1.7263649531614333,Cytoplasmic,Acidic protein MsyB OS=Escherichia coli (strain K12) OX=83333 GN=msyB PE=4 SV=1 UPId=UP000000625 PPId=UP000000625
PXF68203.1,Ornithine carbamoyltransferase;Ornithine carbamoyltransferase chain F;Ornithine carbamoyltransferase chain I,argI;argF,5781800,9845500,0.01518625198551912,0.005921942256754904,1.358623523753099,Cytoplasmic,ornithine carbamoyltransferase [Escherichia coli O157]
