accno,pval,lfc,condition,GOID,TERM,description
AAG54402.1,0.05,1.03,vivo,GO:0005524,ATP binding,preprotein translocase; secretion protein [Escherichia coli O157:H7 str. EDL933]
AAG54402.1,0.05,1.03,vivo,GO:0006605,protein targeting,preprotein translocase; secretion protein [Escherichia coli O157:H7 str. EDL933]
AAG54402.1,0.05,1.03,vivo,GO:0006886,intracellular protein transport,preprotein translocase; secretion protein [Escherichia coli O157:H7 str. EDL933]
AAG55186.1,1e-4,1.69,vivo,GO:0016021,integral component of membrane,outer membrane protein X [Escherichia coli O157:H7 str. EDL933]
AAG55186.1,1e-4,1.69,vivo,GO:0009279,cell outer membrane,outer membrane protein X [Escherichia coli O157:H7 str. EDL933]
AAG55253.1,0.05,0.62,vivo,GO:0000287,magnesium ion binding,pyruvate oxidase [Escherichia coli O157:H7 str. EDL933]
AAG55253.1,0.05,0.62,vivo,GO:0030976,thiamine pyrophosphate binding,pyruvate oxidase [Escherichia coli O157:H7 str. EDL933]
AAG55253.1,0.05,0.62,vivo,GO:0003824,catalytic activity,pyruvate oxidase [Escherichia coli O157:H7 str. EDL933]
AAG56020.1,1e-4,1.24,vivo,GO:0004175,endopeptidase activity,"outer membrane protein 3b (a), protease VII [Escherichia coli O157:H7 str. EDL933]"
AAG56020.1,1e-4,1.24,vivo,GO:0006508,proteolysis,"outer membrane protein 3b (a), protease VII [Escherichia coli O157:H7 str. EDL933]"
AAG56020.1,1e-4,1.24,vivo,GO:0009279,cell outer membrane,"outer membrane protein 3b (a), protease VII [Escherichia coli O157:H7 str. EDL933]"
AAG56020.1,1e-4,1.24,vivo,GO:0004190,aspartic-type endopeptidase activity,"outer membrane protein 3b (a), protease VII [Escherichia coli O157:H7 str. EDL933]"
ACI39136.1,0.05,0.7,vivo,GO:0006508,proteolysis,serine-type D-Ala-D-Ala carboxypeptidase [Escherichia coli O157:H7 str. EC4115]
ACI39136.1,0.05,0.7,vivo,GO:0009002,serine-type D-Ala-D-Ala carboxypeptidase activity,serine-type D-Ala-D-Ala carboxypeptidase [Escherichia coli O157:H7 str. EC4115]
ACI39136.1,0.05,0.7,vivo,GO:0004180,carboxypeptidase activity,serine-type D-Ala-D-Ala carboxypeptidase [Escherichia coli O157:H7 str. EC4115]
P04825,0.05,0.76,vivo,GO:0008237,metallopeptidase activity,Aminopeptidase N OS=Escherichia coli (strain K12) OX=83333 GN=pepN PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P04825,0.05,0.76,vivo,GO:0008270,zinc ion binding,Aminopeptidase N OS=Escherichia coli (strain K12) OX=83333 GN=pepN PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
AAG54967.1,0.05,1.25,vivo,GO:0042834,peptidoglycan binding,a minor lipoprotein [Escherichia coli O157:H7 str. EDL933]
AAG54967.1,0.05,1.25,vivo,GO:0016829,lyase activity,a minor lipoprotein [Escherichia coli O157:H7 str. EDL933]
P31554,1e-4,0.89,vivo,GO:0010033,response to organic substance,LPS-assembly protein LptD OS=Escherichia coli (strain K12) OX=83333 GN=lptD PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P31554,1e-4,0.89,vivo,GO:0019867,outer membrane,LPS-assembly protein LptD OS=Escherichia coli (strain K12) OX=83333 GN=lptD PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P31554,1e-4,0.89,vivo,GO:0061024,membrane organization,LPS-assembly protein LptD OS=Escherichia coli (strain K12) OX=83333 GN=lptD PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P31554,1e-4,0.89,vivo,GO:0009279,cell outer membrane,LPS-assembly protein LptD OS=Escherichia coli (strain K12) OX=83333 GN=lptD PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P31554,1e-4,0.89,vivo,GO:0015920,lipopolysaccharide transport,LPS-assembly protein LptD OS=Escherichia coli (strain K12) OX=83333 GN=lptD PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P31554,1e-4,0.89,vivo,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly,LPS-assembly protein LptD OS=Escherichia coli (strain K12) OX=83333 GN=lptD PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
AAG59504.1,0.016,0.96,vivo,GO:0006064,glucuronate catabolic process,mannonate hydrolase [Escherichia coli O157:H7 str. EDL933]
AAG59504.1,0.016,0.96,vivo,GO:0008927,mannonate dehydratase activity,mannonate hydrolase [Escherichia coli O157:H7 str. EDL933]
BAB33868.2,0.05,0.79,vivo,GO:0006310,DNA recombination,recombination-associated protein rdgC [Escherichia coli O157:H7 str. Sakai]
AAG59511.1,1e-4,0.85,vivo,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",isoaspartyl dipeptidase [Escherichia coli O157:H7 str. EDL933]
AAG59511.1,1e-4,0.85,vivo,GO:0016787,hydrolase activity,isoaspartyl dipeptidase [Escherichia coli O157:H7 str. EDL933]
AAG59511.1,1e-4,0.85,vivo,GO:0008798,beta-aspartyl-peptidase activity,isoaspartyl dipeptidase [Escherichia coli O157:H7 str. EDL933]
AAG55076.1,4.9e-4,0.89,vivo,GO:0005515,protein binding,periplasmic protein involved in the tonb-independent uptake of group A colicins [Escherichia coli O157:H7 str. EDL933]
AAG55076.1,4.9e-4,0.89,vivo,GO:0017038,protein import,periplasmic protein involved in the tonb-independent uptake of group A colicins [Escherichia coli O157:H7 str. EDL933]
AAG55076.1,4.9e-4,0.89,vivo,GO:0042597,periplasmic space,periplasmic protein involved in the tonb-independent uptake of group A colicins [Escherichia coli O157:H7 str. EDL933]
AAG55076.1,4.9e-4,0.89,vivo,GO:0015031,protein transport,periplasmic protein involved in the tonb-independent uptake of group A colicins [Escherichia coli O157:H7 str. EDL933]
AAG57414.1,0.05,0.64,vivo,GO:0016491,oxidoreductase activity,"NADH dehydrogenase I chain E [Escherichia coli O157:H7 str. EDL933]"
AAG57414.1,0.05,0.64,vivo,GO:0055114,NA,"NADH dehydrogenase I chain E [Escherichia coli O157:H7 str. EDL933]"
A0A377DYE8,0.05,0.71,vivo,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,Aspartate carbamoyltransferase regulatory subunit OS=Escherichia coli OX=562 GN=pyrI PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377DYE8,0.05,0.71,vivo,GO:0009347,aspartate carbamoyltransferase complex,Aspartate carbamoyltransferase regulatory subunit OS=Escherichia coli OX=562 GN=pyrI PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
AAG54430.1,0.0039,1,vivo,GO:0004089,carbonate dehydratase activity,putative carbonic anhdrase [Escherichia coli O157:H7 str. EDL933]
AAG54430.1,0.0039,1,vivo,GO:0008270,zinc ion binding,putative carbonic anhdrase [Escherichia coli O157:H7 str. EDL933]
AAG54430.1,0.0039,1,vivo,GO:0015976,carbon utilization,putative carbonic anhdrase [Escherichia coli O157:H7 str. EDL933]
AAG55242.1,0.05,1.18,vivo,GO:0004970,ionotropic glutamate receptor activity,arginine 3rd transport system periplasmic binding protein [Escherichia coli O157:H7 str. EDL933]
AAG55242.1,0.05,1.18,vivo,GO:0016020,membrane,arginine 3rd transport system periplasmic binding protein [Escherichia coli O157:H7 str. EDL933]
AAG55242.1,0.05,1.18,vivo,GO:0005215,transporter activity,arginine 3rd transport system periplasmic binding protein [Escherichia coli O157:H7 str. EDL933]
AAG55242.1,0.05,1.18,vivo,GO:0006810,transport,arginine 3rd transport system periplasmic binding protein [Escherichia coli O157:H7 str. EDL933]
AAG55242.1,0.05,1.18,vivo,GO:0030288,outer membrane-bounded periplasmic space,arginine 3rd transport system periplasmic binding protein [Escherichia coli O157:H7 str. EDL933]
A0A2X2HSZ0,0.05,-1.87,vitro,GO:0015556,C4-dicarboxylate transmembrane transporter activity,Anaerobic C4-dicarboxylate transporter OS=Shigella boydii OX=621 GN=dcuA_3 PE=4 SV=1 UPId=UP000251799 PPId=UP000000625
A0A2X2HSZ0,0.05,-1.87,vitro,GO:0015740,C4-dicarboxylate transport,Anaerobic C4-dicarboxylate transporter OS=Shigella boydii OX=621 GN=dcuA_3 PE=4 SV=1 UPId=UP000251799 PPId=UP000000625
A0A2X2HSZ0,0.05,-1.87,vitro,GO:0016021,integral component of membrane,Anaerobic C4-dicarboxylate transporter OS=Shigella boydii OX=621 GN=dcuA_3 PE=4 SV=1 UPId=UP000251799 PPId=UP000000625
AAC70085.1,0.0039,0.97,vivo,GO:0004096,catalase activity,EHEC-catalase/peroxidase (plasmid) [Escherichia coli O157:H7 str. EDL933]
AAC70085.1,0.0039,0.97,vivo,GO:0004601,peroxidase activity,EHEC-catalase/peroxidase (plasmid) [Escherichia coli O157:H7 str. EDL933]
AAC70085.1,0.0039,0.97,vivo,GO:0006979,response to oxidative stress,EHEC-catalase/peroxidase (plasmid) [Escherichia coli O157:H7 str. EDL933]
AAC70085.1,0.0039,0.97,vivo,GO:0020037,heme binding,EHEC-catalase/peroxidase (plasmid) [Escherichia coli O157:H7 str. EDL933]
AAC70085.1,0.0039,0.97,vivo,GO:0055114,NA,EHEC-catalase/peroxidase (plasmid) [Escherichia coli O157:H7 str. EDL933]
AAG57291.1,0.0039,1.59,vivo,GO:0003934,GTP cyclohydrolase I activity,GTP cyclohydrolase I [Escherichia coli O157:H7 str. EDL933]
AAG57291.1,0.0039,1.59,vivo,GO:0005737,cytoplasm,GTP cyclohydrolase I [Escherichia coli O157:H7 str. EDL933]
AAG57291.1,0.0039,1.59,vivo,GO:0046654,tetrahydrofolate biosynthetic process,GTP cyclohydrolase I [Escherichia coli O157:H7 str. EDL933]
A0A243ZNX7,0.0032,0.62,vivo,GO:0003824,catalytic activity,Pyridoxine 5'-phosphate synthase OS=Escherichia coli OX=562 GN=pdxJ PE=3 SV=1 UPId=UP000194908 PPId=UP000000625
A0A243ZNX7,0.0032,0.62,vivo,GO:0005737,cytoplasm,Pyridoxine 5'-phosphate synthase OS=Escherichia coli OX=562 GN=pdxJ PE=3 SV=1 UPId=UP000194908 PPId=UP000000625
A0A243ZNX7,0.0032,0.62,vivo,GO:0008615,pyridoxine biosynthetic process,Pyridoxine 5'-phosphate synthase OS=Escherichia coli OX=562 GN=pdxJ PE=3 SV=1 UPId=UP000194908 PPId=UP000000625
A0A243ZNX7,0.0032,0.62,vivo,GO:0033856,pyridoxine 5'-phosphate synthase activity,Pyridoxine 5'-phosphate synthase OS=Escherichia coli OX=562 GN=pdxJ PE=3 SV=1 UPId=UP000194908 PPId=UP000000625
BAB37483.2,0.0039,0.51,vivo,GO:0003677,DNA binding,transcript cleavage factor [Escherichia coli O157:H7 str. Sakai]
BAB37483.2,0.0039,0.51,vivo,GO:0032784,"regulation of DNA-templated transcription, elongation",transcript cleavage factor [Escherichia coli O157:H7 str. Sakai]
BAB37483.2,0.0039,0.51,vivo,GO:0070063,RNA polymerase binding,transcript cleavage factor [Escherichia coli O157:H7 str. Sakai]
P27302,0.014,0.51,vivo,GO:0003824,catalytic activity,Transketolase 1 OS=Escherichia coli (strain K12) OX=83333 GN=tktA PE=1 SV=5 UPId=UP000000625 PPId=UP000000625
P27302,0.014,0.51,vivo,GO:0008152,metabolic process,Transketolase 1 OS=Escherichia coli (strain K12) OX=83333 GN=tktA PE=1 SV=5 UPId=UP000000625 PPId=UP000000625
P27302,0.014,0.51,vivo,GO:0004802,transketolase activity,Transketolase 1 OS=Escherichia coli (strain K12) OX=83333 GN=tktA PE=1 SV=5 UPId=UP000000625 PPId=UP000000625
AAG57572.1,1e-4,0.96,vivo,GO:0004471,malate dehydrogenase (decarboxylating) (NAD+) activity,putative multimodular enzyme [Escherichia coli O157:H7 str. EDL933]
AAG57572.1,1e-4,0.96,vivo,GO:0055114,NA,putative multimodular enzyme [Escherichia coli O157:H7 str. EDL933]
AAG57572.1,1e-4,0.96,vivo,GO:0051287,"NAD binding",putative multimodular enzyme [Escherichia coli O157:H7 str. EDL933]
AAG57572.1,1e-4,0.96,vivo,GO:0004470,malic enzyme activity,putative multimodular enzyme [Escherichia coli O157:H7 str. EDL933]
AAG57572.1,1e-4,0.96,vivo,GO:0006108,malate metabolic process,putative multimodular enzyme [Escherichia coli O157:H7 str. EDL933]
AAG57572.1,1e-4,0.96,vivo,GO:0046872,metal ion binding,putative multimodular enzyme [Escherichia coli O157:H7 str. EDL933]
AAG57572.1,1e-4,0.96,vivo,GO:0008152,metabolic process,putative multimodular enzyme [Escherichia coli O157:H7 str. EDL933]
AAG57572.1,1e-4,0.96,vivo,GO:0016746,"transferase activity, transferring acyl groups",putative multimodular enzyme [Escherichia coli O157:H7 str. EDL933]
ACI34931.1,0.0017,0.88,vivo,GO:0003994,aconitate hydratase activity,aconitate hydratase 2 [Escherichia coli O157:H7 str. EC4115]
ACI34931.1,0.0017,0.88,vivo,GO:0006099,tricarboxylic acid cycle,aconitate hydratase 2 [Escherichia coli O157:H7 str. EC4115]
ACI34931.1,0.0017,0.88,vivo,GO:0008152,metabolic process,aconitate hydratase 2 [Escherichia coli O157:H7 str. EC4115]
ACI34931.1,0.0017,0.88,vivo,GO:0005829,cytosol,aconitate hydratase 2 [Escherichia coli O157:H7 str. EC4115]
ACI34931.1,0.0017,0.88,vivo,GO:0051539,"4 iron, 4 sulfur cluster binding",aconitate hydratase 2 [Escherichia coli O157:H7 str. EC4115]
AAG59354.1,0.0023,-1.09,vitro,GO:0009055,electron transfer activity,"fumarate reductase, anaerobic, iron-sulfur protein subunit [Escherichia coli O157:H7 str. EDL933]"
AAG59354.1,0.0023,-1.09,vitro,GO:0051536,iron-sulfur cluster binding,"fumarate reductase, anaerobic, iron-sulfur protein subunit [Escherichia coli O157:H7 str. EDL933]"
AAG59354.1,0.0023,-1.09,vitro,GO:0051537,"2 iron, 2 sulfur cluster binding","fumarate reductase, anaerobic, iron-sulfur protein subunit [Escherichia coli O157:H7 str. EDL933]"
AAG59354.1,0.0023,-1.09,vitro,GO:0006099,tricarboxylic acid cycle,"fumarate reductase, anaerobic, iron-sulfur protein subunit [Escherichia coli O157:H7 str. EDL933]"
AAG59354.1,0.0023,-1.09,vitro,GO:0016491,oxidoreductase activity,"fumarate reductase, anaerobic, iron-sulfur protein subunit [Escherichia coli O157:H7 str. EDL933]"
AAG59354.1,0.0023,-1.09,vitro,GO:0055114,NA,"fumarate reductase, anaerobic, iron-sulfur protein subunit [Escherichia coli O157:H7 str. EDL933]"
AAG59017.1,0.05,1.04,vivo,GO:0004620,phospholipase activity,outer membrane phospholipase A [Escherichia coli O157:H7 str. EDL933]
AAG59017.1,0.05,1.04,vivo,GO:0006629,lipid metabolic process,outer membrane phospholipase A [Escherichia coli O157:H7 str. EDL933]
AAG59017.1,0.05,1.04,vivo,GO:0016020,membrane,outer membrane phospholipase A [Escherichia coli O157:H7 str. EDL933]
AAG57524.1,0.05,0.7,vivo,GO:0006424,glutamyl-tRNA aminoacylation,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0008270,zinc ion binding,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0000166,nucleotide binding,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0004812,aminoacyl-tRNA ligase activity,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0005524,ATP binding,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0005737,cytoplasm,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0006418,tRNA aminoacylation for protein translation,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0016876,NA,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0043039,tRNA aminoacylation,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0004818,glutamate-tRNA ligase activity,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG57524.1,0.05,0.7,vivo,GO:0000049,tRNA binding,"glutamate tRNA synthetase, catalytic subunit [Escherichia coli O157:H7 str. EDL933]"
AAG56689.1,0.025,0.75,vivo,GO:0003824,catalytic activity,phosphoenolpyruvate synthase [Escherichia coli O157:H7 str. EDL933]
AAG56689.1,0.025,0.75,vivo,GO:0005524,ATP binding,phosphoenolpyruvate synthase [Escherichia coli O157:H7 str. EDL933]
AAG56689.1,0.025,0.75,vivo,GO:0016301,kinase activity,phosphoenolpyruvate synthase [Escherichia coli O157:H7 str. EDL933]
AAG56689.1,0.025,0.75,vivo,GO:0016310,phosphorylation,phosphoenolpyruvate synthase [Escherichia coli O157:H7 str. EDL933]
AAG56689.1,0.025,0.75,vivo,GO:0016772,"transferase activity, transferring phosphorus-containing groups",phosphoenolpyruvate synthase [Escherichia coli O157:H7 str. EDL933]
AAG56689.1,0.025,0.75,vivo,GO:0006090,pyruvate metabolic process,phosphoenolpyruvate synthase [Escherichia coli O157:H7 str. EDL933]
AAG56689.1,0.025,0.75,vivo,GO:0008986,"pyruvate, water dikinase activity",phosphoenolpyruvate synthase [Escherichia coli O157:H7 str. EDL933]
AAG56608.1,0.0039,0.94,vivo,GO:0016491,oxidoreductase activity,"NAD-dependent 7alpha-hydroxysteroid dehydrogenase, dehydroxylation of bile acids [Escherichia coli O157:H7 str. EDL933]"
AAG58632.1,0.0039,0.58,vivo,GO:0016491,oxidoreductase activity,glutathione oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG58632.1,0.0039,0.58,vivo,GO:0050660,flavin adenine dinucleotide binding,glutathione oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG58632.1,0.0039,0.58,vivo,GO:0055114,NA,glutathione oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG58632.1,0.0039,0.58,vivo,GO:0045454,cell redox homeostasis,glutathione oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG58632.1,0.0039,0.58,vivo,GO:0016668,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor",glutathione oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG58632.1,0.0039,0.58,vivo,GO:0004362,glutathione-disulfide reductase activity,glutathione oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG58632.1,0.0039,0.58,vivo,GO:0006749,glutathione metabolic process,glutathione oxidoreductase [Escherichia coli O157:H7 str. EDL933]
AAG58632.1,0.0039,0.58,vivo,GO:0050661,"NADP binding",glutathione oxidoreductase [Escherichia coli O157:H7 str. EDL933]
A0A377DME0,0.05,0.88,vivo,GO:0016787,hydrolase activity,ADP-ribose pyrophosphatase OS=Escherichia coli OX=562 GN=nudF_2 PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377DME0,0.05,0.88,vivo,GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",ADP-ribose pyrophosphatase OS=Escherichia coli OX=562 GN=nudF_2 PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A377DME0,0.05,0.88,vivo,GO:0046872,metal ion binding,ADP-ribose pyrophosphatase OS=Escherichia coli OX=562 GN=nudF_2 PE=4 SV=1 UPId=UP000254429 PPId=UP000000625
A0A0P7NDI9,0.0039,0.57,vivo,GO:0004784,superoxide dismutase activity,Superoxide dismutase (Fragment) OS=Escherichia coli OX=562 GN=ACU90_18505 PE=3 SV=1 UPId=UP000050307 PPId=UP000000625
A0A0P7NDI9,0.0039,0.57,vivo,GO:0006801,superoxide metabolic process,Superoxide dismutase (Fragment) OS=Escherichia coli OX=562 GN=ACU90_18505 PE=3 SV=1 UPId=UP000050307 PPId=UP000000625
A0A0P7NDI9,0.0039,0.57,vivo,GO:0046872,metal ion binding,Superoxide dismutase (Fragment) OS=Escherichia coli OX=562 GN=ACU90_18505 PE=3 SV=1 UPId=UP000050307 PPId=UP000000625
A0A0P7NDI9,0.0039,0.57,vivo,GO:0055114,NA,Superoxide dismutase (Fragment) OS=Escherichia coli OX=562 GN=ACU90_18505 PE=3 SV=1 UPId=UP000050307 PPId=UP000000625
AAG56094.1,9.8e-4,-1.37,vitro,GO:0003677,DNA binding,"DNA-binding protein HLP-II (HU, BH2, HD, NS); pleiotropic regulator [Escherichia coli O157:H7 str. EDL933]"
AAG56094.1,9.8e-4,-1.37,vitro,GO:0005622,intracellular anatomical structure,"DNA-binding protein HLP-II (HU, BH2, HD, NS); pleiotropic regulator [Escherichia coli O157:H7 str. EDL933]"
AAG56094.1,9.8e-4,-1.37,vitro,GO:0006355,"regulation of transcription, DNA-templated","DNA-binding protein HLP-II (HU, BH2, HD, NS); pleiotropic regulator [Escherichia coli O157:H7 str. EDL933]"
AAG56094.1,9.8e-4,-1.37,vitro,GO:0046983,protein dimerization activity,"DNA-binding protein HLP-II (HU, BH2, HD, NS); pleiotropic regulator [Escherichia coli O157:H7 str. EDL933]"
AAG58426.1,1e-4,-0.9,vitro,GO:0003735,structural constituent of ribosome,50S ribosomal subunit protein L6 [Escherichia coli O157:H7 str. EDL933]
AAG58426.1,1e-4,-0.9,vitro,GO:0005840,ribosome,50S ribosomal subunit protein L6 [Escherichia coli O157:H7 str. EDL933]
AAG58426.1,1e-4,-0.9,vitro,GO:0006412,translation,50S ribosomal subunit protein L6 [Escherichia coli O157:H7 str. EDL933]
AAG58426.1,1e-4,-0.9,vitro,GO:0019843,rRNA binding,50S ribosomal subunit protein L6 [Escherichia coli O157:H7 str. EDL933]
AAG58426.1,1e-4,-0.9,vitro,GO:0005622,intracellular anatomical structure,50S ribosomal subunit protein L6 [Escherichia coli O157:H7 str. EDL933]
AAG54454.1,0.0013,1.12,vivo,GO:0004872,NA,"outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80 [Escherichia coli O157:H7 str. EDL933]"
AAG54454.1,0.0013,1.12,vivo,GO:0006810,transport,"outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80 [Escherichia coli O157:H7 str. EDL933]"
AAG54454.1,0.0013,1.12,vivo,GO:0016020,membrane,"outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80 [Escherichia coli O157:H7 str. EDL933]"
AAG54454.1,0.0013,1.12,vivo,GO:0005506,iron ion binding,"outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80 [Escherichia coli O157:H7 str. EDL933]"
AAG54454.1,0.0013,1.12,vivo,GO:0015891,siderophore transport,"outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80 [Escherichia coli O157:H7 str. EDL933]"
A0A376SP00,0.016,0.62,vivo,GO:0003824,catalytic activity,Purine nucleoside phosphoramidase OS=Escherichia coli OX=562 GN=ycfF PE=4 SV=1 UPId=UP000254180 PPId=UP000000625
A0A3Q0MSX9,0.0039,0.52,vivo,GO:0015035,protein disulfide oxidoreductase activity,Thiol:disulfide interchange protein DsbA OS=Escherichia coli OX=562 GN=CR539_00995 PE=4 SV=1 UPId=UP000234543 PPId=UP000000625
A0A3Q0MSX9,0.0039,0.52,vivo,GO:0045454,cell redox homeostasis,Thiol:disulfide interchange protein DsbA OS=Escherichia coli OX=562 GN=CR539_00995 PE=4 SV=1 UPId=UP000234543 PPId=UP000000625
AAG56359.1,0.0039,0.84,vivo,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",glyceraldehyde-3-phosphate dehydrogenase [Escherichia coli O157:H7 str. EDL933]
AAG56359.1,0.0039,0.84,vivo,GO:0055114,NA,glyceraldehyde-3-phosphate dehydrogenase [Escherichia coli O157:H7 str. EDL933]
AAG56359.1,0.0039,0.84,vivo,GO:0006006,glucose metabolic process,glyceraldehyde-3-phosphate dehydrogenase [Escherichia coli O157:H7 str. EDL933]
AAG56359.1,0.0039,0.84,vivo,GO:0050661,"NADP binding",glyceraldehyde-3-phosphate dehydrogenase [Escherichia coli O157:H7 str. EDL933]
AAG56359.1,0.0039,0.84,vivo,GO:0051287,"NAD binding",glyceraldehyde-3-phosphate dehydrogenase [Escherichia coli O157:H7 str. EDL933]
AAG58441.1,0.0094,-0.72,vitro,GO:0003735,structural constituent of ribosome,50S ribosomal subunit protein L3 [Escherichia coli O157:H7 str. EDL933]
AAG58441.1,0.0094,-0.72,vitro,GO:0005622,intracellular anatomical structure,50S ribosomal subunit protein L3 [Escherichia coli O157:H7 str. EDL933]
AAG58441.1,0.0094,-0.72,vitro,GO:0005840,ribosome,50S ribosomal subunit protein L3 [Escherichia coli O157:H7 str. EDL933]
AAG58441.1,0.0094,-0.72,vitro,GO:0006412,translation,50S ribosomal subunit protein L3 [Escherichia coli O157:H7 str. EDL933]
